x coord, y coord, z coord, scalar
0,0,0,0.006283
0,0,1,-0.056519
0,0,2,-0.119097
0,0,3,-0.181206
0,0,4,-0.242599
0,0,5,-0.303035
0,0,6,-0.362275
0,0,7,-0.420086
0,0,8,-0.476238
0,0,9,-0.530511
0,0,10,-0.582690
0,0,11,-0.632570
0,0,12,-0.679953
0,0,13,-0.724653
0,0,14,-0.766493
0,0,15,-0.805308
0,0,16,-0.840945
0,0,17,-0.873262
0,0,18,-0.902134
0,0,19,-0.927445
0,0,20,-0.949096
0,0,21,-0.967001
0,0,22,-0.981091
0,0,23,-0.991308
0,0,24,-0.997613
0,0,25,-0.999980
0,0,26,-0.998402
0,0,27,-0.992883
0,0,28,-0.983445
0,0,29,-0.970127
0,0,30,-0.952979
0,0,31,-0.932071
0,0,32,-0.907484
0,0,33,-0.879316
0,0,34,-0.847678
0,0,35,-0.812694
0,0,36,-0.774503
0,0,37,-0.733255
0,0,38,-0.689114
0,0,39,-0.642253
0,0,40,-0.592857
0,0,41,-0.541121
0,0,42,-0.487250
0,0,43,-0.431456
0,0,44,-0.373959
0,0,45,-0.314987
0,0,46,-0.254771
0,0,47,-0.193549
0,0,48,-0.131564
0,0,49,-0.069060
0,0,50,-0.006283
0,1,0,-0.056519
0,1,1,-0.119097
0,1,2,-0.181206
0,1,3,-0.242599
0,1,4,-0.303035
0,1,5,-0.362275
0,1,6,-0.420086
0,1,7,-0.476238
0,1,8,-0.530511
0,1,9,-0.582690
0,1,10,-0.632570
0,1,11,-0.679953
0,1,12,-0.724653
0,1,13,-0.766493
0,1,14,-0.805308
0,1,15,-0.840945
0,1,16,-0.873262
0,1,17,-0.902134
0,1,18,-0.927445
0,1,19,-0.949096
0,1,20,-0.967001
0,1,21,-0.981091
0,1,22,-0.991308
0,1,23,-0.997613
0,1,24,-0.999980
0,1,25,-0.998402
0,1,26,-0.992883
0,1,27,-0.983445
0,1,28,-0.970127
0,1,29,-0.952979
0,1,30,-0.932071
0,1,31,-0.907484
0,1,32,-0.879316
0,1,33,-0.847678
0,1,34,-0.812694
0,1,35,-0.774503
0,1,36,-0.733255
0,1,37,-0.689114
0,1,38,-0.642253
0,1,39,-0.592857
0,1,40,-0.541121
0,1,41,-0.487250
0,1,42,-0.431456
0,1,43,-0.373959
0,1,44,-0.314987
0,1,45,-0.254771
0,1,46,-0.193549
0,1,47,-0.131564
0,1,48,-0.069060
0,1,49,-0.006283
0,1,50,0.056519
0,2,0,-0.119097
0,2,1,-0.181206
0,2,2,-0.242599
0,2,3,-0.303035
0,2,4,-0.362275
0,2,5,-0.420086
0,2,6,-0.476238
0,2,7,-0.530511
0,2,8,-0.582690
0,2,9,-0.632570
0,2,10,-0.679953
0,2,11,-0.724653
0,2,12,-0.766493
0,2,13,-0.805308
0,2,14,-0.840945
0,2,15,-0.873262
0,2,16,-0.902134
0,2,17,-0.927445
0,2,18,-0.949096
0,2,19,-0.967001
0,2,20,-0.981091
0,2,21,-0.991308
0,2,22,-0.997613
0,2,23,-0.999980
0,2,24,-0.998402
0,2,25,-0.992883
0,2,26,-0.983445
0,2,27,-0.970127
0,2,28,-0.952979
0,2,29,-0.932071
0,2,30,-0.907484
0,2,31,-0.879316
0,2,32,-0.847678
0,2,33,-0.812694
0,2,34,-0.774503
0,2,35,-0.733255
0,2,36,-0.689114
0,2,37,-0.642253
0,2,38,-0.592857
